Test-Run,Lap number,Lap distance (m),Left pedal crank angle (deg),Wheel_Circ,Chainring,Sprocket,Time (s),Distance (m)
R04,4,40.019999999999996,28.235,2096.0,50.0,14.0,54.364999999999995,499.43
R04,6,39.995000000000005,221.315,2096.0,50.0,14.0,74.315,750.0699999999999
R04,8,40.010000000000005,103.33500000000001,2096.0,50.0,14.0,94.785,1001.8399999999999
R04,10,40.02,15.36,2096.0,50.0,14.0,115.63,1254.22
R04,12,39.99,206.32,2096.0,50.0,14.0,136.44,1504.89
R04,14,40.010000000000005,56.47,2096.0,50.0,14.0,157.235,1755.99
R04,16,39.98,304.33,2096.0,50.0,14.0,178.02,2007.85
R04,18,40.0,119.49,2096.0,50.0,14.0,198.87,2258.25
R04,20,39.989999999999995,41.805,2096.0,50.0,14.0,219.805,2510.81
Grd-Speed,20,0.0,0.0,0.0,0.0,0.0,0.0,12.117754609779068
Air-Speed,20,0.0,0.0,0.0,0.0,0.0,0.0,11.954589944253899
Grd-Speed_clean,20,0.0,0.0,0.0,0.0,0.0,0.0,12.115337290954171
Air-Speed_clean,20,0.0,0.0,0.0,0.0,0.0,0.0,11.95467729831147
Crk-Speed,20,0.0,0.0,0.0,0.0,0.0,0.0,12.131767367871356
R06,4,39.989999999999995,56.035,2096.0,50.0,15.0,52.575,494.555
R06,6,39.97,65.14,2096.0,50.0,15.0,73.89500000000001,745.885
R06,8,39.989999999999995,115.795,2096.0,50.0,15.0,95.07499999999999,998.03
R06,10,39.975,141.3,2096.0,50.0,15.0,116.285,1249.72
R06,12,40.019999999999996,174.26,2096.0,50.0,15.0,137.495,1501.5700000000002
R06,14,39.97,154.55,2096.0,50.0,15.0,158.70499999999998,1752.415
R06,16,39.99,63.02,2096.0,50.0,15.0,179.67,2001.84
R06,18,40.02,55.72,2096.0,50.0,15.0,200.65,2252.89
R06,20,40.005,145.045,2096.0,50.0,15.0,221.635,2505.86
Grd-Speed,20,0.0,0.0,0.0,0.0,0.0,0.0,11.822107213838079
Air-Speed,20,0.0,0.0,0.0,0.0,0.0,0.0,11.56739163130457
Grd-Speed_clean,20,0.0,0.0,0.0,0.0,0.0,0.0,11.819823011227541
Air-Speed_clean,20,0.0,0.0,0.0,0.0,0.0,0.0,11.567486212576835
Crk-Speed,20,0.0,0.0,0.0,0.0,0.0,0.0,11.83691522740453
R07,4,40.0,160.99,2096.0,50.0,14.0,57.43,496.98
R07,6,39.989999999999995,181.905,2096.0,50.0,14.0,79.045,747.73
R07,8,40.005,200.065,2096.0,50.0,14.0,99.995,998.4200000000001
R07,10,39.980000000000004,107.825,2096.0,50.0,14.0,121.495,1250.69
R07,12,40.025,275.93,2096.0,50.0,14.0,143.405,1500.885
R07,14,40.0,18.31,2096.0,50.0,14.0,165.63,1749.69
R07,16,39.959999999999994,168.99,2096.0,50.0,14.0,188.085,1999.5349999999999
R07,18,40.025,20.03,2096.0,50.0,14.0,210.655,2250.5950000000003
R07,20,40.040000000000006,108.655,2096.0,50.0,15.0,233.345,2501.0550000000003
Grd-Speed,20,0.0,0.0,0.0,0.0,0.0,0.0,11.281456228112113
Air-Speed,20,0.0,0.0,0.0,0.0,0.0,0.0,11.533005002501264
Grd-Speed_clean,20,0.0,0.0,0.0,0.0,0.0,0.0,11.318063678042193
Air-Speed_clean,20,0.0,0.0,0.0,0.0,0.0,0.0,11.554790654110976
Crk-Speed,20,0.0,0.0,0.0,0.0,0.0,0.0,11.330848564239702
R08,4,40.005,146.675,2096.0,50.0,15.0,61.085,500.495
R08,6,40.0,115.13,2096.0,50.0,15.0,82.45,751.04
R08,8,39.989999999999995,126.2,2096.0,50.0,15.0,103.845,1002.425
R08,10,40.02,178.63,2096.0,50.0,15.0,125.46,1254.59
R08,12,40.0,124.79,2096.0,50.0,15.0,147.13,1504.79
R08,14,39.995,145.88,2096.0,50.0,15.0,169.165,1756.385
R08,16,39.975,219.53,2096.0,50.0,15.0,191.345,2008.98
R08,18,39.99,147.33,2096.0,50.0,15.0,213.34,2258.82
R08,20,39.99,183.76,2096.0,50.0,15.0,235.54,2510.73
Grd-Speed,20,0.0,0.0,0.0,0.0,0.0,0.0,11.457604171940647
Air-Speed,20,0.0,0.0,0.0,0.0,0.0,0.0,11.184527872006754
Grd-Speed_clean,20,0.0,0.0,0.0,0.0,0.0,0.0,11.471128653777933
Air-Speed_clean,20,0.0,0.0,0.0,0.0,0.0,0.0,11.202569401762288
Crk-Speed,20,0.0,0.0,0.0,0.0,0.0,0.0,11.482495480661752
